Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2010-03-18,506.71,510.3,502.04,507.89,508.1,7409150.04,37510.0
2010-03-17,507.09,510.72,502.84,504.11,504.68,10464902.4,53033.22
2010-03-16,486.89,505.67,485.48,504.82,503.85,16472312.92,81781.02
2010-03-15,482.17,486.87,477.97,485.76,485.03,8784774.32,42450.06
2010-03-12,478.87,487.36,478.4,482.17,481.99,10820417.88,52299.36
2010-03-11,476.51,481.23,475.1,480.76,479.56,7065809.36,33783.85
2010-03-10,469.44,480.72,466.75,476.51,475.93,12019028.4,57252.18
2010-03-09,474.86,477.37,466.16,466.25,467.24,8459104.5,39755.04
2010-03-08,481.8,484.53,472.74,474.15,473.73,5785536.04,27649.46
2010-03-05,482.17,484.06,474.2,476.54,476.42,5704725.32,27251.01
2010-03-04,490.67,490.67,475.57,477.93,478.4,10068460.14,48352.5
2010-03-03,466.14,485.0,466.14,483.12,483.5,12899260.4,61707.37
2010-03-02,464.72,471.33,462.08,465.47,463.87,8822998.64,41074.93
2010-02-26,457.17,469.44,455.87,462.03,461.87,10939594.94,50765.94
2010-02-25,462.41,464.72,452.52,456.79,454.38,9183206.86,41968.89
2010-02-24,457.64,465.05,456.06,461.56,461.8,6050213.12,27984.17
2010-02-23,459.53,463.78,457.64,460.92,460.17,6287299.76,28954.06
2010-02-22,469.58,471.8,457.64,458.12,461.4,6149271.24,28600.48
2010-02-19,469.44,469.44,461.01,464.25,463.87,8602037.7,39948.95
2010-02-18,485.95,489.89,469.44,470.86,470.76,9609590.18,45542.88
2010-02-17,483.59,489.63,482.2,486.42,487.15,7572763.88,36765.92
2010-02-16,476.56,481.7,474.15,481.23,480.17,4878050.6,23334.51
2010-02-15,484.53,484.53,475.38,476.04,476.51,6540054.24,31353.28
2010-02-11,466.72,481.14,466.37,480.67,478.94,11361529.28,53814.68
2010-02-10,471.75,471.75,463.31,463.78,464.76,8847539.02,41300.06
2010-02-09,468.85,470.86,463.64,468.14,468.61,6924461.6,32403.43
2010-02-08,464.72,473.85,460.0,467.41,469.13,12546044.66,58480.02
2010-02-06,467.08,470.62,464.91,468.85,468.85,1372283.84,6424.78
2010-02-05,460.0,475.45,460.0,463.09,463.16,14478195.98,67668.08
2010-02-04,489.72,489.72,478.4,481.23,480.83,5801672.34,28122.95
2010-02-03,486.47,494.63,486.47,487.36,487.82,7292794.12,35754.95
2010-02-02,496.33,498.38,483.16,484.53,484.68,8357106.54,40904.06
2010-02-01,489.49,497.74,488.57,493.5,493.22,5878349.9,29024.38
2010-01-29,487.32,496.24,480.33,494.44,493.59,11304813.84,55214.64
2010-01-28,490.67,493.71,483.59,489.89,489.32,16096701.8,78779.58
2010-01-27,487.84,495.38,481.23,484.06,484.79,12036620.84,58642.58
2010-01-25,495.22,497.46,489.11,491.3,491.63,6489017.12,32007.82
2010-01-22,491.14,505.29,485.71,496.19,497.2,19316727.2,95973.58
2010-01-21,507.18,508.12,495.5,496.8,497.29,9017149.14,45204.72
2010-01-20,516.61,517.61,505.76,507.84,508.36,9365843.86,47913.07
2010-01-19,518.97,521.83,510.79,512.32,511.9,6329805.6,32719.19
2010-01-18,522.28,526.74,515.18,518.5,518.74,6866400.2,35815.96
2010-01-15,531.15,537.33,521.36,522.7,524.05,9092389.64,48045.03
2010-01-14,512.37,530.68,512.37,528.91,529.22,11892309.9,62494.34
2010-01-13,513.31,515.2,504.16,513.31,513.6,7441975.82,38097.37
2010-01-12,516.61,536.57,508.12,509.11,511.59,15886938.54,81862.4
2010-01-11,535.35,542.43,495.38,511.19,510.25,91400386.36,457043.42
2010-01-08,522.75,525.49,517.09,520.81,520.46,7320838.14,38158.56
2010-01-07,513.31,526.05,508.59,519.87,521.83,12692841.84,66081.16
2010-01-06,509.49,516.38,505.13,512.84,513.31,11478612.22,58739.28
2010-01-05,542.52,542.52,502.65,504.21,505.15,10364782.38,52716.34
2010-01-04,514.78,514.78,482.11,508.27,507.42,37134880.22,182986.28
2009-12-31,511.43,517.09,510.18,515.84,514.52,8499128.34,43718.58
2009-12-30,509.45,511.9,504.59,507.65,507.67,4496085.0,22848.52
2009-12-29,509.07,513.78,504.82,509.54,509.66,5897438.76,30098.12
2009-12-24,507.18,511.33,499.33,506.14,507.79,7823468.76,39538.6
2009-12-23,483.59,503.83,481.89,502.93,503.03,10394153.26,51549.78
2009-12-22,480.38,485.39,477.13,480.76,480.85,6753558.54,32525.29
2009-12-21,472.27,486.33,467.08,478.17,479.8,11915930.4,57058.77
2009-12-18,488.31,488.31,474.15,474.74,475.41,10651661.96,51127.77
2009-12-17,497.65,497.65,485.95,487.23,488.29,6878129.9,33714.29
2009-12-16,495.34,497.74,489.77,496.33,494.04,7157537.98,35314.22
2009-12-15,503.88,506.71,494.44,494.91,496.14,7109368.64,35562.15
2009-12-14,503.88,511.43,501.52,503.4,503.85,6745909.02,34192.9
2009-12-11,509.54,513.31,502.23,505.76,505.41,7485638.96,38027.94
2009-12-10,506.57,510.48,501.05,503.9,505.67,6271631.9,31728.88
2009-12-09,504.82,508.59,501.12,505.91,505.7,5416650.32,27380.4
2009-12-08,500.1,511.64,497.81,510.03,509.7,9900335.84,50209.75
2009-12-07,513.31,516.19,495.38,497.13,497.74,10015500.54,50489.44
2009-12-04,514.73,522.28,509.68,514.4,513.5,6765389.96,34899.7
2009-12-03,521.29,528.41,515.25,515.29,518.81,8437671.4,44076.12
2009-12-02,521.45,527.78,514.82,517.09,519.19,10019921.98,52251.85
2009-12-01,507.18,518.97,503.5,518.74,518.03,6061724.5,31084.21
2009-11-30,501.28,509.02,497.27,499.16,501.76,8755585.72,44082.05
2009-11-27,495.38,499.16,476.98,497.86,493.47,12340100.86,60060.94
2009-11-26,524.16,524.16,496.94,500.1,501.87,10766063.62,54651.59
2009-11-25,515.61,525.08,511.87,517.98,517.73,17604343.5,91636.86
2009-11-24,517.09,520.16,511.45,513.43,513.6,14720456.48,75645.87
2009-11-23,509.54,520.8,503.18,517.37,517.78,23435060.3,120748.54
2009-11-20,490.67,503.63,487.13,503.17,500.88,13092927.66,64854.38
2009-11-19,495.09,497.72,488.99,491.38,491.57,9806534.26,48392.33
